"기준일","요일","시군구","연령대","성별","통화건수"
20170203,"금","관악구","50대","여",50
20170203,"금","관악구","60대이상","남",19
20170203,"금","관악구","60대이상","여",21
20170203,"금","광진구","10대","남",21
20170203,"금","광진구","10대","여",16
20170203,"금","광진구","20대","남",33
20170203,"금","광진구","20대","여",40
20170203,"금","광진구","30대","남",40
20170203,"금","광진구","30대","여",43
20170203,"금","광진구","40대","남",32
20170203,"금","광진구","40대","여",56
20170203,"금","광진구","50대","남",17
20170203,"금","광진구","50대","여",25
20170203,"금","광진구","60대이상","남",4
20170203,"금","광진구","60대이상","여",21
20170203,"금","구로구","10대","남",40
20170203,"금","구로구","10대","여",26
20170203,"금","구로구","20대","남",76
20170203,"금","구로구","20대","여",55
20170203,"금","구로구","30대","남",82
20170203,"금","구로구","30대","여",126
20170203,"금","구로구","40대","남",66
20170203,"금","구로구","40대","여",137
20170203,"금","구로구","50대","남",41
20170203,"금","구로구","50대","여",38
20170203,"금","구로구","60대이상","남",20
20170203,"금","구로구","60대이상","여",21
20170203,"금","금천구","10대","남",21
20170203,"금","금천구","10대","여",20
20170203,"금","금천구","20대","남",45
20170203,"금","금천구","20대","여",51
20170203,"금","금천구","30대","남",69
20170203,"금","금천구","30대","여",60
20170203,"금","금천구","40대","남",48
20170203,"금","금천구","40대","여",65
20170203,"금","금천구","50대","남",14
20170203,"금","금천구","50대","여",23
20170203,"금","금천구","60대이상","남",11
20170203,"금","금천구","60대이상","여",15
20170203,"금","노원구","10대","남",79
20170203,"금","노원구","10대","여",44
20170203,"금","노원구","20대","남",80
20170203,"금","노원구","20대","여",73
20170203,"금","노원구","30대","남",117
20170203,"금","노원구","30대","여",159
20170203,"금","노원구","40대","남",132
20170203,"금","노원구","40대","여",250
20170203,"금","노원구","50대","남",46
20170203,"금","노원구","50대","여",58
20170203,"금","노원구","60대이상","남",30
20170203,"금","노원구","60대이상","여",22
20170203,"금","도봉구","10대","남",18
20170203,"금","도봉구","10대","여",16
20170203,"금","도봉구","20대","남",29
20170203,"금","도봉구","20대","여",28
20170203,"금","도봉구","30대","남",30
20170203,"금","도봉구","30대","여",36
20170203,"금","도봉구","40대","남",25
20170203,"금","도봉구","40대","여",63
20170203,"금","도봉구","50대","남",14
20170203,"금","도봉구","50대","여",14
20170203,"금","도봉구","60대이상","남",16
20170203,"금","도봉구","60대이상","여",20
20170203,"금","동대문구","10대","남",37
20170203,"금","동대문구","10대","여",14
